Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,4130.0,13.0,323.0,8978.0,0.0,3211.0,0.0,0.0,955.5621497631073,,,,,,,,,,,,,,,,,,,,,703.9181569414211,254.45460580421056,947.3847041074854,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,4450.0,14.0,320.0,9298.0,0.0,2991.0,0.0,0.0,977.4490623474121,,,,,,,,,,,,,,,,,,,,,641.8347202035475,271.5256583630709,946.5948437865128,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,4780.0,15.0,330.0,9628.0,0.0,3195.5,0.0,0.0,999.8718676567078,,,,,,,,,,,,,,,,,,,,,686.9811223734754,254.7013363987113,937.8407031995263,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.0,0.0,0.0,324.0,1.0,324.0,9952.0,0.0,3135.5,0.0,0.0,1382.2413864135742,,,,,,,,,,,,,,,,,,,,,696.2126163897085,247.52089449708933,941.2341697204965,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.0,0.0,0.0,650.0,2.0,326.0,10278.0,0.0,3193.5,0.0,0.0,1404.9118864536285,,,,,,,,,,,,,,,,,,,,,700.6319060720457,249.60598514211128,940.0409853285345,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2.0,0.0,0.0,976.0,3.0,326.0,10604.0,0.0,3184.0,0.0,0.0,1427.4378015995026,,,,,,,,,,,,,,,,,,,,,687.8771368617604,245.2876933362975,951.0308422531929,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2.0,0.0,0.0,1062.0,4.0,86.0,10690.0,0.0,705.5015000002,0.0,0.0,1433.1985712051392,,,,,,,,,,,,,,,,,,,,,246.00235156594684,163.36927126206237,498.9287653065509,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.0,0.0,0.0,1390.0,5.0,328.0,11018.0,0.0,3280.0,0.0,0.0,1455.5142714977264,,,,,,,,,,,,,,,,,,,,,709.3420693692491,255.86820437858754,962.9878913826902,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.0,0.0,0.0,1607.0,6.0,217.0,11235.0,0.0,1868.5080000002017,0.0,0.0,1470.4659900665283,,,,,,,,,,,,,,,,,,,,,477.3770048785058,268.9054907960837,841.0099994079216,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2.0,0.0,0.0,1937.0,7.0,330.0,11565.0,0.0,3281.0,0.0,0.0,1492.92893075943,,,,,,,,,,,,,,,,,,,,,705.3949690694692,258.3333671181208,962.8248505765168,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.0,0.0,0.0,2259.0,8.0,322.0,11887.0,0.0,3020.5,0.0,0.0,1514.8474326133728,,,,,,,,,,,,,,,,,,,,,649.5626842062014,240.54780862961073,938.2910675313445,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2.0,0.0,0.0,2578.0,9.0,319.0,12206.0,0.0,2990.5,0.0,0.0,1536.8061244487762,,,,,,,,,,,,,,,,,,,,,643.7218311984861,270.7641071318771,946.4922812897266,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.0,0.0,0.0,2909.0,10.0,331.0,12537.0,0.0,3310.0,0.0,0.0,1559.3344054222107,,,,,,,,,,,,,,,,,,,,,711.64763862824,255.84437861797707,964.0871880207329,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
